47 58 64 ; 36 32 376 ; 33 2 416 ; 45 23 202 ; 19 31 150 ; 
46 36 221 ; 6 13 5 ; 7 49 493 ; 22 7 422 ; 62 20 227 ; 
56 17 14 ; 24 13 197 ; 26 37 210 ; 49 52 83 ; 17 14 480 ; 
53 39 131 ; 3 1 297 ; 52 18 183 ; 59 33 338 ; 16 60 100 ; 
33 11 250 ; 46 8 218 ; 20 42 130 ; 8 45 196 ; 22 29 126 ; 
62 32 439 ; 63 17 332 ; 17 8 403 ; 50 6 279 ; 47 27 71 ; 
58 45 47 ; 2 56 124 ; 45 26 326 ; 26 23 422 ; 56 5 466 ; 
24 4 109 ; 42 56 423 ; 50 48 62 ; 57 27 371 ; 20 2 478 ; 
1 57 257 ; 57 17 427 ; 20 24 185 ; 43 50 94 ; 48 21 89 ; 
52 14 149 ; 44 5 257 ; 28 59 63 ; 56 2 398 ; 58 60 451 ; 
52 37 175 ; 5 8 320 ; 29 46 106 ; 16 0 14 ; 37 45 389 ; 
51 18 209 ; 56 16 265 ; 51 55 389 ; 53 17 338 ; 50 36 38 ; 
23 11 264 ; 32 52 212 ; 14 22 210 ; 14 12 83 ; 60 45 255 ; 
14 62 192 ; 30 3 207 ; 22 52 371 ; 39 2 246 ; 12 8 56 ; 
23 9 482 ; 11 61 77 ; 33 55 473 ; 45 15 355 ; 26 54 170 ; 
24 3 6 ; 27 2 364 ; 16 58 151 ; 18 36 133 ; 27 4 356 ; 
36 22 124 ; 33 0 316 ; 25 9 251 ; 40 33 389 ; 30 7 390 ; 
33 41 349 ; 36 25 121 ; 30 40 325 ; 2 13 53 ; 7 26 291 ; 
29 50 282 ; 29 34 438 ; 39 30 176 ; 8 59 205 ; 15 5 109 ; 
56 42 495 ; 17 40 261 ; 58 1 409 ; 7 42 15 ; 33 37 473 ; 
20 60 396 ; 54 54 62 ; 20 18 251 ; 15 7 86 ; 21 36 478 ; 
63 32 245 ; 39 61 97 ; 40 62 47 ; 18 29 449 ; 56 62 84 ; 
52 39 162 ; 42 45 158 ; 61 16 388 ; 4 27 457 ; 41 45 252 ; 
9 15 369 ; 6 40 305 ; 4 19 180 ; 33 56 25 ; 31 37 391 ; 
6 51 423 ; 51 21 403 ; 4 45 326 ; 31 26 163 ; 12 23 323 ; 
27 40 416 ; 4 57 289 ; 23 50 55 ; 16 19 123 ; 53 6 156 ; 
40 50 480 ; 61 17 194 ; 42 27 10 ; 5 34 178 ; 28 46 489 ; 
4 34 69 ; 62 32 17 ; 48 35 281 ; 3 43 112 ; 9 19 256 ; 
59 27 1 ; 13 42 9 ; 40 44 290 ; 11 50 29 ; 57 23 238 ; 
27 8 170 ; 59 21 194 ; 31 38 116 ; 10 15 468 ; 29 7 275 ; 
57 53 429 ; 35 10 204 ; 15 29 357 ; 1 26 214 ; 24 28 289 ; 
32 58 202 ; 54 28 425 ; 28 61 249 ; 43 13 80 ; 51 33 190 ; 
40 62 87 ; 50 22 104 ; 15 60 435 ; 41 10 90 ; 5 35 99 ; 
63 53 99 ; 28 34 12 ; 25 11 354 ; 38 19 110 ; 7 37 42 ; 
5 21 257 ; 28 61 257 ; 24 9 403 ; 34 35 487 ; 5 63 388 ; 
58 50 198 ; 28 6 85 ; 40 16 245 ; 59 55 294 ; 33 9 53 ; 
54 14 444 ; 51 59 250 ; 60 26 26 ; 32 9 482 ; 31 34 480 ; 
17 0 365 ; 24 29 135 ; 40 23 419 ; 31 41 319 ; 40 34 63 ; 
54 35 44 ; 49 41 350 ; 12 11 85 ; 21 5 390 ; 55 33 206 ; 
