41 45 233 ; 34 22 404 ; 18 30 330 ; 94 109 21 ; 127 88 204 ; 
82 13 474 ; 124 46 39 ; 122 50 94 ; 56 60 21 ; 74 47 431 ; 
119 16 266 ; 13 101 83 ; 43 111 405 ; 25 16 439 ; 113 108 489 ; 
126 94 316 ; 45 77 194 ; 95 31 407 ; 27 113 181 ; 74 120 305 ; 
91 54 223 ; 64 29 406 ; 47 38 324 ; 63 66 143 ; 43 59 396 ; 
10 52 86 ; 87 126 380 ; 119 69 125 ; 104 6 304 ; 96 0 440 ; 
22 67 282 ; 51 126 121 ; 89 70 157 ; 27 57 72 ; 87 70 239 ; 
11 68 363 ; 9 64 269 ; 79 106 496 ; 85 114 491 ; 85 22 275 ; 
25 5 131 ; 23 78 325 ; 93 88 292 ; 22 16 290 ; 92 8 257 ; 
32 43 36 ; 97 88 443 ; 75 92 25 ; 61 88 336 ; 84 59 113 ; 
89 127 311 ; 39 88 4 ; 127 101 451 ; 16 75 328 ; 24 76 426 ; 
67 37 347 ; 27 8 175 ; 119 117 440 ; 79 49 323 ; 11 67 425 ; 
10 42 389 ; 98 42 498 ; 71 65 225 ; 18 53 25 ; 95 63 25 ; 
4 38 465 ; 12 46 60 ; 2 22 431 ; 51 74 222 ; 118 59 278 ; 
32 0 77 ; 74 30 47 ; 11 99 365 ; 64 40 381 ; 0 125 179 ; 
38 106 222 ; 84 26 250 ; 107 101 355 ; 53 40 413 ; 112 58 260 ; 
112 87 363 ; 14 126 31 ; 113 7 122 ; 26 88 233 ; 23 60 398 ; 
2 126 190 ; 28 69 308 ; 2 24 281 ; 42 109 196 ; 100 117 229 ; 
59 116 305 ; 57 20 369 ; 64 126 215 ; 25 115 272 ; 85 41 66 ; 
83 95 474 ; 24 60 460 ; 48 109 288 ; 29 9 38 ; 19 90 284 ; 
7 27 304 ; 27 76 27 ; 25 11 0 ; 13 59 89 ; 54 6 26 ; 
22 104 139 ; 82 76 206 ; 63 76 127 ; 72 79 255 ; 34 123 5 ; 
