27 3 496 ; 25 22 26 ; 10 4 422 ; 13 14 403 ; 9 6 465 ; 
0 11 343 ; 2 18 114 ; 14 5 223 ; 16 26 227 ; 9 21 33 ; 
12 9 453 ; 2 4 197 ; 6 30 458 ; 21 2 348 ; 27 31 209 ; 
6 18 355 ; 24 13 323 ; 29 12 281 ; 23 27 184 ; 12 4 212 ; 
22 2 441 ; 26 27 266 ; 24 13 332 ; 26 10 211 ; 26 19 452 ; 
12 6 183 ; 25 25 73 ; 5 15 477 ; 0 19 166 ; 5 7 478 ; 
7 4 342 ; 2 14 52 ; 15 27 338 ; 25 14 123 ; 13 22 365 ; 
19 25 475 ; 13 2 0 ; 28 3 405 ; 15 1 267 ; 22 23 107 ; 
26 26 16 ; 9 18 447 ; 4 5 97 ; 18 16 277 ; 8 21 334 ; 
1 21 331 ; 3 1 271 ; 6 6 180 ; 7 17 340 ; 31 29 435 ; 
25 13 29 ; 11 5 415 ; 16 30 360 ; 0 7 196 ; 22 10 190 ; 
11 25 90 ; 12 28 283 ; 18 12 490 ; 4 24 40 ; 1 19 452 ; 
14 4 203 ; 19 16 284 ; 18 4 451 ; 25 29 44 ; 3 7 184 ; 
29 26 90 ; 25 13 385 ; 6 4 125 ; 30 0 216 ; 18 4 72 ; 
22 7 5 ; 6 3 383 ; 11 11 155 ; 8 3 417 ; 15 27 2 ; 
9 10 394 ; 23 3 275 ; 27 9 416 ; 27 1 202 ; 0 29 121 ; 
7 26 459 ; 11 5 245 ; 22 4 248 ; 25 21 179 ; 20 0 87 ; 
30 14 162 ; 2 25 144 ; 11 29 371 ; 12 8 130 ; 9 17 313 ; 
3 12 77 ; 8 29 273 ; 13 21 36 ; 2 24 318 ; 2 3 367 ; 
16 30 15 ; 9 2 354 ; 7 29 120 ; 15 19 291 ; 0 4 83 ; 
12 22 420 ; 9 15 307 ; 31 19 331 ; 23 13 296 ; 27 0 119 ; 
25 7 153 ; 27 13 146 ; 24 21 19 ; 11 8 42 ; 15 7 417 ; 
5 15 117 ; 20 26 101 ; 7 14 115 ; 20 14 110 ; 20 17 265 ; 
28 23 20 ; 9 13 185 ; 31 12 108 ; 7 19 160 ; 15 8 471 ; 
30 30 207 ; 25 31 296 ; 7 10 365 ; 21 20 96 ; 7 22 13 ; 
30 18 481 ; 11 8 17 ; 23 24 327 ; 10 1 30 ; 19 20 417 ; 
17 23 424 ; 16 0 471 ; 27 29 364 ; 15 1 491 ; 5 26 92 ; 
24 8 491 ; 0 17 193 ; 24 4 196 ; 25 22 168 ; 14 16 354 ; 
5 24 173 ; 5 31 242 ; 2 31 163 ; 4 6 402 ; 30 3 273 ; 
6 6 339 ; 24 8 323 ; 28 20 263 ; 19 24 267 ; 3 7 201 ; 
27 8 35 ; 27 27 328 ; 26 30 230 ; 1 28 456 ; 4 9 400 ; 
10 28 279 ; 18 7 73 ; 7 18 301 ; 31 22 290 ; 6 19 421 ; 
15 30 112 ; 10 14 287 ; 8 4 66 ; 4 29 17 ; 13 25 130 ; 
10 20 350 ; 17 22 316 ; 4 15 279 ; 26 5 82 ; 13 14 97 ; 
