63 57 290 ; 28 25 227 ; 47 28 47 ; 59 9 230 ; 14 61 125 ; 
47 11 357 ; 56 24 435 ; 27 44 227 ; 25 4 196 ; 16 34 272 ; 
10 16 129 ; 35 47 312 ; 63 30 136 ; 8 9 111 ; 5 14 350 ; 
17 63 48 ; 41 22 48 ; 21 49 492 ; 26 21 443 ; 60 30 272 ; 
12 3 65 ; 59 39 71 ; 26 40 182 ; 35 23 481 ; 49 2 1 ; 
49 58 234 ; 7 34 279 ; 57 2 340 ; 14 62 322 ; 44 18 316 ; 
47 55 352 ; 23 38 72 ; 63 56 203 ; 22 9 293 ; 24 34 424 ; 
19 1 74 ; 53 48 247 ; 56 9 230 ; 54 55 103 ; 8 63 210 ; 
0 3 26 ; 38 19 330 ; 31 30 285 ; 40 4 380 ; 11 12 226 ; 
12 6 175 ; 60 49 126 ; 5 36 127 ; 60 15 171 ; 59 9 53 ; 
62 48 46 ; 17 6 214 ; 48 51 128 ; 52 31 323 ; 0 33 132 ; 
7 60 351 ; 56 42 271 ; 28 14 171 ; 44 41 245 ; 53 59 461 ; 
37 21 489 ; 43 47 31 ; 30 47 161 ; 61 15 433 ; 31 23 141 ; 
27 42 209 ; 6 9 64 ; 20 36 101 ; 61 5 253 ; 56 35 477 ; 
13 60 483 ; 60 19 444 ; 44 60 396 ; 59 21 270 ; 18 34 152 ; 
60 48 415 ; 5 4 86 ; 41 17 440 ; 47 59 308 ; 18 16 10 ; 
14 27 450 ; 33 12 176 ; 30 40 252 ; 51 34 308 ; 22 26 167 ; 
6 49 461 ; 10 36 245 ; 28 28 142 ; 23 41 324 ; 39 51 387 ; 
3 53 293 ; 15 5 31 ; 55 18 132 ; 25 10 258 ; 52 62 46 ; 
37 3 432 ; 9 5 330 ; 38 11 452 ; 15 59 252 ; 2 26 483 ; 
55 11 179 ; 61 10 118 ; 15 43 97 ; 25 41 364 ; 23 27 337 ; 
27 35 373 ; 32 49 387 ; 43 10 464 ; 39 62 398 ; 1 10 497 ; 
13 61 123 ; 23 51 227 ; 2 56 484 ; 44 52 351 ; 7 9 136 ; 
43 19 8 ; 28 2 427 ; 38 58 343 ; 37 25 250 ; 47 6 121 ; 
44 54 399 ; 31 29 172 ; 23 1 323 ; 11 52 486 ; 20 0 122 ; 
39 36 73 ; 41 35 124 ; 36 2 457 ; 61 13 23 ; 3 62 224 ; 
57 49 395 ; 22 49 419 ; 23 9 358 ; 11 35 365 ; 12 41 304 ; 
48 54 161 ; 20 47 160 ; 22 4 42 ; 35 63 418 ; 34 32 39 ; 
19 47 254 ; 5 43 188 ; 14 5 66 ; 49 55 78 ; 26 51 73 ; 
16 4 189 ; 63 61 286 ; 3 31 290 ; 3 37 396 ; 35 40 4 ; 
18 46 438 ; 61 46 245 ; 3 5 302 ; 58 51 228 ; 45 44 417 ; 
50 50 435 ; 47 40 412 ; 14 50 119 ; 51 18 15 ; 27 22 326 ; 
9 60 73 ; 56 54 207 ; 61 52 445 ; 48 1 200 ; 28 62 338 ; 
14 22 163 ; 54 62 337 ; 40 37 224 ; 59 16 366 ; 17 62 33 ; 
