0 9 56 ; 1 0 422 ; 1 6 363 ; 9 2 55 ; 2 1 61 ; 
4 8 199 ; 9 5 66 ; 4 7 255 ; 0 2 333 ; 9 7 74 ; 
0 5 413 ; 0 9 356 ; 6 2 247 ; 1 8 410 ; 2 9 32 ; 
0 8 384 ; 5 5 230 ; 2 2 22 ; 6 7 216 ; 5 1 158 ; 
0 7 89 ; 9 3 139 ; 2 2 349 ; 2 4 478 ; 1 6 119 ; 
1 0 101 ; 8 1 353 ; 2 5 228 ; 9 3 322 ; 3 1 140 ; 
2 0 65 ; 7 1 5 ; 9 0 86 ; 5 0 320 ; 2 9 262 ; 
4 2 325 ; 5 5 357 ; 2 5 127 ; 5 9 40 ; 6 9 279 ; 
8 4 124 ; 9 1 136 ; 2 0 23 ; 2 0 384 ; 4 3 130 ; 
8 8 292 ; 6 7 106 ; 1 5 304 ; 3 7 258 ; 2 8 334 ; 
9 3 392 ; 0 9 171 ; 0 5 12 ; 3 9 414 ; 8 1 59 ; 
6 5 65 ; 6 4 33 ; 3 0 21 ; 0 8 405 ; 8 2 358 ; 
1 5 20 ; 3 8 161 ; 0 0 82 ; 1 7 424 ; 3 8 9 ; 
8 3 247 ; 4 8 316 ; 4 0 72 ; 3 7 495 ; 5 5 477 ; 
2 7 445 ; 0 9 229 ; 3 1 464 ; 2 7 174 ; 0 7 447 ; 
5 6 210 ; 5 2 311 ; 7 4 355 ; 4 1 352 ; 9 8 355 ; 
7 4 402 ; 6 5 35 ; 9 9 127 ; 6 5 192 ; 5 2 144 ; 
2 5 246 ; 6 6 211 ; 1 3 277 ; 2 5 464 ; 3 2 179 ; 
9 5 130 ; 4 2 487 ; 5 9 263 ; 0 4 244 ; 4 8 3 ; 
9 5 400 ; 7 8 332 ; 1 5 319 ; 8 2 432 ; 3 3 166 ; 
