54 84 480 ; 116 27 417 ; 34 105 377 ; 23 17 27 ; 76 125 51 ; 
52 25 302 ; 92 67 402 ; 114 73 358 ; 4 21 443 ; 55 67 41 ; 
11 103 432 ; 38 32 398 ; 15 33 227 ; 32 124 297 ; 30 112 92 ; 
55 118 277 ; 123 68 313 ; 68 14 77 ; 90 18 415 ; 29 95 316 ; 
4 91 323 ; 36 14 6 ; 69 53 65 ; 65 126 48 ; 49 94 329 ; 
39 11 111 ; 107 108 58 ; 122 41 81 ; 12 89 278 ; 107 13 260 ; 
70 120 241 ; 84 110 405 ; 9 11 169 ; 7 56 262 ; 102 5 359 ; 
113 112 365 ; 94 18 432 ; 7 48 464 ; 96 18 22 ; 109 78 198 ; 
101 39 385 ; 84 4 15 ; 95 5 488 ; 23 75 233 ; 28 82 197 ; 
12 11 323 ; 31 108 388 ; 79 56 58 ; 97 126 262 ; 47 80 414 ; 
86 13 480 ; 90 16 189 ; 95 104 345 ; 42 74 217 ; 124 51 0 ; 
8 2 229 ; 116 66 365 ; 44 97 264 ; 42 7 63 ; 122 13 40 ; 
7 1 307 ; 23 91 253 ; 0 8 487 ; 74 21 30 ; 125 58 292 ; 
127 123 337 ; 65 72 473 ; 34 53 41 ; 41 112 449 ; 55 13 275 ; 
56 88 217 ; 19 122 308 ; 28 117 415 ; 49 80 379 ; 107 84 81 ; 
102 85 70 ; 47 94 317 ; 100 91 63 ; 84 4 69 ; 97 87 99 ; 
58 36 214 ; 52 120 98 ; 41 100 442 ; 121 79 90 ; 78 5 463 ; 
35 55 211 ; 2 105 265 ; 93 92 492 ; 98 113 156 ; 57 48 25 ; 
94 38 138 ; 86 85 156 ; 58 23 332 ; 10 117 6 ; 15 4 59 ; 
70 127 137 ; 47 97 225 ; 11 113 499 ; 125 102 0 ; 45 47 178 ; 
84 89 12 ; 41 62 218 ; 64 86 456 ; 53 24 143 ; 57 84 361 ; 
57 93 192 ; 26 10 2 ; 11 57 166 ; 113 70 393 ; 32 52 458 ; 
122 92 460 ; 56 98 112 ; 14 63 365 ; 39 86 161 ; 123 119 294 ; 
88 39 23 ; 99 29 264 ; 28 67 430 ; 98 117 366 ; 23 35 227 ; 
115 127 392 ; 86 47 350 ; 21 8 110 ; 107 33 152 ; 98 111 39 ; 
9 119 478 ; 38 55 311 ; 106 18 262 ; 95 120 182 ; 2 79 221 ; 
2 71 260 ; 49 57 311 ; 58 99 93 ; 91 28 62 ; 75 123 65 ; 
66 86 463 ; 121 9 448 ; 11 31 375 ; 3 81 409 ; 83 102 296 ; 
26 18 494 ; 84 50 464 ; 55 39 466 ; 83 50 420 ; 79 39 135 ; 
37 127 406 ; 46 95 108 ; 77 102 358 ; 30 87 85 ; 5 39 157 ; 
23 122 152 ; 73 78 314 ; 113 84 494 ; 35 20 154 ; 74 48 445 ; 
73 22 260 ; 41 63 77 ; 15 97 59 ; 103 14 172 ; 14 63 395 ; 
8 67 4 ; 87 98 407 ; 43 84 121 ; 64 126 386 ; 112 124 117 ; 
6 72 379 ; 69 58 137 ; 38 89 338 ; 53 70 61 ; 116 81 216 ; 
56 97 451 ; 26 8 259 ; 110 121 106 ; 109 91 310 ; 105 96 494 ; 
49 48 90 ; 107 73 208 ; 69 11 458 ; 11 92 48 ; 92 21 65 ; 
61 92 166 ; 69 43 354 ; 63 82 444 ; 26 36 430 ; 123 54 319 ; 
43 56 408 ; 116 64 106 ; 127 14 193 ; 91 3 378 ; 112 44 185 ; 
76 74 361 ; 120 32 58 ; 74 16 388 ; 110 111 323 ; 36 58 45 ; 
92 111 228 ; 28 85 399 ; 43 38 195 ; 46 61 306 ; 90 94 146 ; 
37 92 430 ; 69 22 111 ; 86 22 299 ; 69 85 101 ; 127 47 179 ; 
110 3 27 ; 67 3 235 ; 106 118 67 ; 39 105 278 ; 5 55 120 ; 
97 117 11 ; 120 0 264 ; 14 3 289 ; 100 80 179 ; 19 11 68 ; 
22 106 128 ; 25 37 414 ; 16 125 238 ; 121 127 440 ; 48 48 251 ; 
37 59 208 ; 38 107 174 ; 41 96 58 ; 122 44 248 ; 5 60 68 ; 
112 76 267 ; 21 75 222 ; 18 13 387 ; 18 57 255 ; 66 12 336 ; 
125 100 424 ; 104 30 6 ; 72 80 340 ; 116 17 77 ; 49 53 171 ; 
125 109 301 ; 72 59 345 ; 85 34 390 ; 14 26 5 ; 26 10 115 ; 
127 43 397 ; 29 113 10 ; 110 93 70 ; 127 114 366 ; 52 2 135 ; 
33 23 240 ; 92 28 365 ; 127 54 222 ; 25 99 399 ; 35 34 338 ; 
78 35 492 ; 63 33 219 ; 28 7 249 ; 15 54 287 ; 17 89 82 ; 
40 45 54 ; 68 126 472 ; 122 24 408 ; 94 8 399 ; 0 6 256 ; 
36 30 260 ; 69 54 390 ; 77 107 154 ; 3 14 38 ; 92 48 325 ; 
9 6 482 ; 7 126 14 ; 32 83 266 ; 40 38 333 ; 46 19 219 ; 
76 35 39 ; 2 1 395 ; 109 31 93 ; 123 90 258 ; 43 35 405 ; 
50 126 21 ; 48 0 50 ; 3 71 153 ; 42 8 257 ; 61 39 261 ; 
96 70 3 ; 97 10 328 ; 1 19 306 ; 91 105 40 ; 126 66 111 ; 
124 119 159 ; 125 53 33 ; 68 122 57 ; 76 96 289 ; 115 109 183 ; 
57 41 144 ; 67 49 136 ; 86 59 197 ; 63 51 334 ; 1 39 289 ; 
120 70 388 ; 45 23 112 ; 40 24 125 ; 8 29 397 ; 117 76 261 ; 
30 56 288 ; 79 4 18 ; 11 50 345 ; 62 96 216 ; 101 106 239 ; 
43 114 173 ; 66 118 185 ; 91 120 31 ; 120 61 363 ; 69 79 87 ; 
125 83 168 ; 2 17 111 ; 52 19 242 ; 20 107 221 ; 126 2 440 ; 
112 27 157 ; 103 45 237 ; 95 108 359 ; 28 83 82 ; 107 66 47 ; 
63 38 288 ; 80 41 301 ; 99 124 223 ; 78 89 251 ; 81 117 72 ; 
108 119 474 ; 25 36 199 ; 5 19 210 ; 88 94 133 ; 26 33 365 ; 
65 41 373 ; 106 46 444 ; 102 54 244 ; 64 113 324 ; 53 65 250 ; 
44 16 263 ; 80 79 388 ; 100 117 309 ; 66 122 59 ; 99 27 351 ; 
12 40 478 ; 58 116 255 ; 112 17 145 ; 98 17 244 ; 35 95 124 ; 
51 127 225 ; 2 11 206 ; 119 48 6 ; 113 91 134 ; 13 95 24 ; 
53 125 75 ; 42 92 223 ; 59 37 326 ; 76 85 254 ; 43 69 316 ; 
42 107 380 ; 53 61 271 ; 102 95 246 ; 65 102 309 ; 32 46 151 ; 
29 90 432 ; 121 17 81 ; 31 3 43 ; 116 102 210 ; 58 42 462 ; 
37 18 198 ; 98 46 384 ; 65 76 410 ; 39 97 232 ; 86 104 113 ; 
48 124 258 ; 65 70 291 ; 69 57 469 ; 43 104 140 ; 85 98 48 ; 
104 8 170 ; 22 89 379 ; 98 95 437 ; 67 75 499 ; 44 120 50 ; 
40 70 468 ; 110 50 328 ; 40 23 354 ; 16 27 371 ; 114 19 338 ; 
123 70 423 ; 84 29 303 ; 51 87 453 ; 126 82 471 ; 118 116 167 ; 
61 109 191 ; 111 21 179 ; 6 127 362 ; 33 46 134 ; 52 8 58 ; 
122 56 96 ; 24 79 151 ; 111 125 255 ; 65 12 22 ; 53 95 332 ; 
34 94 151 ; 56 6 88 ; 55 28 83 ; 102 90 309 ; 110 40 406 ; 
38 104 274 ; 118 36 437 ; 115 51 273 ; 127 118 220 ; 95 54 481 ; 
61 109 106 ; 67 97 65 ; 95 68 37 ; 57 45 376 ; 97 55 454 ; 
74 118 461 ; 110 47 171 ; 33 0 389 ; 23 64 420 ; 78 65 88 ; 
59 119 207 ; 29 80 24 ; 97 97 368 ; 15 42 99 ; 70 88 205 ; 
60 117 242 ; 107 57 308 ; 107 114 258 ; 43 31 144 ; 108 75 191 ; 
100 86 233 ; 52 30 421 ; 22 42 342 ; 64 22 431 ; 24 59 146 ; 
14 65 97 ; 71 18 205 ; 57 80 409 ; 88 48 184 ; 35 40 48 ; 
121 109 36 ; 24 110 404 ; 66 12 217 ; 88 12 363 ; 19 26 219 ; 
85 111 239 ; 103 1 385 ; 55 126 180 ; 104 102 14 ; 16 122 10 ; 
125 123 54 ; 108 95 407 ; 120 120 243 ; 4 39 282 ; 31 22 474 ; 
14 30 26 ; 15 51 235 ; 13 16 58 ; 116 38 105 ; 110 20 21 ; 
105 38 349 ; 73 50 323 ; 65 85 67 ; 105 59 423 ; 127 122 472 ; 
29 76 63 ; 81 115 145 ; 97 1 425 ; 7 70 162 ; 27 116 338 ; 
66 49 409 ; 116 108 58 ; 73 19 43 ; 5 51 285 ; 127 87 442 ; 
75 26 289 ; 62 107 215 ; 63 76 456 ; 5 59 193 ; 121 29 292 ; 
43 110 115 ; 23 41 217 ; 43 44 357 ; 94 113 279 ; 53 31 264 ; 
79 77 287 ; 58 24 226 ; 7 52 316 ; 66 49 467 ; 95 53 136 ; 
78 84 494 ; 119 54 241 ; 35 11 52 ; 21 42 347 ; 52 78 197 ; 
1 113 278 ; 25 95 301 ; 77 11 116 ; 126 118 351 ; 51 103 465 ; 
8 81 148 ; 62 102 366 ; 73 18 473 ; 116 106 69 ; 66 31 86 ; 
52 10 318 ; 19 67 56 ; 31 55 365 ; 21 50 55 ; 124 111 169 ; 
77 12 149 ; 51 118 313 ; 70 88 379 ; 48 93 56 ; 79 119 272 ; 
89 69 495 ; 29 21 11 ; 84 127 46 ; 7 54 417 ; 118 107 295 ; 
2 84 315 ; 121 69 325 ; 81 116 416 ; 46 109 290 ; 37 89 202 ; 
106 8 146 ; 0 107 251 ; 127 98 320 ; 53 119 25 ; 32 34 160 ; 
117 74 246 ; 58 63 81 ; 47 103 382 ; 28 86 123 ; 117 116 373 ; 
126 98 218 ; 105 42 328 ; 75 14 408 ; 67 71 27 ; 101 7 240 ; 
47 62 69 ; 110 119 162 ; 86 41 184 ; 44 44 367 ; 32 93 63 ; 
